Batsman Name,Team,Dots,Singles,Doubles,Triples,Fours,Sixes,Runs,Deliveries,Opposition Team,Career Average,Match ID,Match Date,Match Year,Venue,,
IK Pathan,India,2,1,0,0,1,0,5,4,Zimbabwe,23.39,2087,Jan-24-2004,2004,Adelaide,,
V Sibanda,Zimbabwe,33,0,0,0,3,0,12,36,India,24.45,2087,Jan-24-2004,2004,Adelaide,,
GW Flower,Zimbabwe,9,2,2,0,1,0,10,14,India,33.52,2087,Jan-24-2004,2004,Adelaide,,
TJ Friend,Zimbabwe,3,0,0,0,0,0,0,3,India,16.11,2087,Jan-24-2004,2004,Adelaide,,
SV Carlisle,Zimbabwe,59,49,9,2,9,0,109,128,India,27.67,2087,Jan-24-2004,2004,Adelaide,,
SM Ervine,Zimbabwe,42,39,8,1,9,1,100,100,India,25.85,2087,Jan-24-2004,2004,Adelaide,,
AM Blignaut,Zimbabwe,6,4,2,0,1,0,12,13,India,18.96,2087,Jan-24-2004,2004,Adelaide,,
HH Streak,Zimbabwe,3,1,0,0,1,0,5,5,India,28.29,2087,Jan-24-2004,2004,Adelaide,,
DD Ebrahim,Zimbabwe,0,0,1,0,0,0,2,1,India,20.61,2087,Jan-24-2004,2004,Adelaide,,
GC Smith,South Africa,45,17,6,0,6,0,53,74,West Indies,37.98,2088,Jan-25-2004,2004,Cape Town,,
HH Gibbs,South Africa,21,3,0,1,1,0,10,26,West Indies,36.13,2088,Jan-25-2004,2004,Cape Town,,
RJ Peterson,South Africa,19,7,2,0,1,1,21,30,West Indies,20.59,2088,Jan-25-2004,2004,Cape Town,,
JH Kallis,South Africa,39,33,11,0,6,5,109,94,West Indies,44.36,2088,Jan-25-2004,2004,Cape Town,,
HH Dippenaar,South Africa,3,1,0,0,0,0,1,4,West Indies,42.23,2088,Jan-25-2004,2004,Cape Town,,
JA Rudolph,South Africa,39,27,3,0,7,0,61,76,West Indies,35.57,2088,Jan-25-2004,2004,Cape Town,,
CH Gayle,West Indies,14,0,0,0,1,0,4,15,South Africa,37.33,2088,Jan-25-2004,2004,Cape Town,,
S Chanderpaul,West Indies,27,4,1,0,2,0,14,34,South Africa,41.6,2088,Jan-25-2004,2004,Cape Town,,
BC Lara,West Indies,14,2,0,0,0,0,2,16,South Africa,40.48,2088,Jan-25-2004,2004,Cape Town,,
RR Sarwan,West Indies,10,1,0,0,1,0,5,12,South Africa,42.67,2088,Jan-25-2004,2004,Cape Town,,
RL Powell,West Indies,5,2,0,0,1,1,12,9,South Africa,24.82,2088,Jan-25-2004,2004,Cape Town,,
DR Smith,West Indies,7,1,0,0,0,0,1,8,South Africa,18.57,2088,Jan-25-2004,2004,Cape Town,,
RD Jacobs,West Indies,13,2,2,0,0,0,6,17,South Africa,23.31,2088,Jan-25-2004,2004,Cape Town,,
RO Hurley,West Indies,5,2,0,0,0,0,2,7,South Africa,26.23,2088,Jan-25-2004,2004,Cape Town,,
VC Drakes,West Indies,14,1,0,0,0,0,1,15,South Africa,7.83,2088,Jan-25-2004,2004,Cape Town,,
M Dillon,West Indies,4,1,0,0,0,0,1,5,South Africa,7.32,2088,Jan-25-2004,2004,Cape Town,,
CD Collymore,West Indies,3,0,0,0,0,0,0,3,South Africa,5.77,2088,Jan-25-2004,2004,Cape Town,,
ML Hayden,Australia,14,9,2,1,1,0,20,27,Zimbabwe,43.8,2089,Jan-26-2004,2004,Adelaide,,
DR Martyn,Australia,9,1,2,0,1,0,9,13,Zimbabwe,40.8,2089,Jan-26-2004,2004,Adelaide,,
RT Ponting,Australia,44,13,3,0,11,0,63,71,Zimbabwe,42.03,2089,Jan-26-2004,2004,Adelaide,,
MG Bevan,Australia,41,39,3,2,6,0,75,91,Zimbabwe,53.58,2089,Jan-26-2004,2004,Adelaide,,
MJ Clarke,Australia,16,32,0,0,1,0,36,49,Zimbabwe,44.58,2089,Jan-26-2004,2004,Adelaide,,
A Symonds,Australia,10,12,5,0,3,0,34,30,Zimbabwe,39.75,2089,Jan-26-2004,2004,Adelaide,,
BJ Haddin,Australia,9,4,3,0,1,0,14,17,Zimbabwe,31.53,2089,Jan-26-2004,2004,Adelaide,,
GB Hogg,Australia,0,1,0,0,0,0,1,1,Zimbabwe,20.25,2089,Jan-26-2004,2004,Adelaide,,
B Lee,Australia,1,0,1,0,1,0,6,3,Zimbabwe,17.81,2089,Jan-26-2004,2004,Adelaide,,
GW Flower,Zimbabwe,50,35,11,3,7,0,94,106,Australia,33.52,2089,Jan-26-2004,2004,Adelaide,,
T Taibu,Zimbabwe,27,3,1,0,1,0,9,32,Australia,29.25,2089,Jan-26-2004,2004,Adelaide,,
TJ Friend,Zimbabwe,9,4,0,0,1,0,8,14,Australia,16.11,2089,Jan-26-2004,2004,Adelaide,,
SV Carlisle,Zimbabwe,14,7,0,0,2,0,15,23,Australia,27.67,2089,Jan-26-2004,2004,Adelaide,,
SM Ervine,Zimbabwe,24,11,5,2,0,1,33,43,Australia,25.85,2089,Jan-26-2004,2004,Adelaide,,
HH Streak,Zimbabwe,14,16,2,0,2,0,28,34,Australia,28.29,2089,Jan-26-2004,2004,Adelaide,,
DD Ebrahim,Zimbabwe,6,5,1,0,1,0,11,13,Australia,20.61,2089,Jan-26-2004,2004,Adelaide,,
S Matsikenyeri,Zimbabwe,1,1,0,0,1,0,5,3,Australia,22.01,2089,Jan-26-2004,2004,Adelaide,,
AM Blignaut,Zimbabwe,5,11,1,2,3,0,31,22,Australia,18.96,2089,Jan-26-2004,2004,Adelaide,,
RW Price,Zimbabwe,3,7,1,0,1,0,13,12,Australia,9.66,2089,Jan-26-2004,2004,Adelaide,,
GC Smith,South Africa,19,7,1,0,0,0,9,27,West Indies,37.98,2090,Jan-28-2004,2004,Port Elizabeth,,
HH Gibbs,South Africa,20,2,0,0,2,0,10,24,West Indies,36.13,2090,Jan-28-2004,2004,Port Elizabeth,,
JH Kallis,South Africa,36,5,0,1,2,0,16,44,West Indies,44.36,2090,Jan-28-2004,2004,Port Elizabeth,,
HH Dippenaar,South Africa,69,41,5,0,8,0,83,123,West Indies,42.23,2090,Jan-28-2004,2004,Port Elizabeth,,
JA Rudolph,South Africa,28,10,0,0,1,0,14,39,West Indies,35.57,2090,Jan-28-2004,2004,Port Elizabeth,,
MV Boucher,South Africa,6,1,0,0,1,0,5,8,West Indies,28.57,2090,Jan-28-2004,2004,Port Elizabeth,,
SM Pollock,South Africa,16,10,0,0,4,0,26,30,West Indies,26.45,2090,Jan-28-2004,2004,Port Elizabeth,,
L Klusener,South Africa,7,1,1,0,1,0,7,10,West Indies,41.1,2090,Jan-28-2004,2004,Port Elizabeth,,
RJ Peterson,South Africa,0,0,0,0,0,0,0,0,West Indies,20.59,2090,Jan-28-2004,2004,Port Elizabeth,,
CH Gayle,West Indies,16,2,0,1,1,0,9,20,South Africa,37.33,2090,Jan-28-2004,2004,Port Elizabeth,,
S Chanderpaul,West Indies,6,2,0,0,0,0,2,8,South Africa,41.6,2090,Jan-28-2004,2004,Port Elizabeth,,
RL Powell,West Indies,12,3,0,0,3,0,15,18,South Africa,24.82,2090,Jan-28-2004,2004,Port Elizabeth,,
RR Sarwan,West Indies,25,5,0,1,1,0,12,32,South Africa,42.67,2090,Jan-28-2004,2004,Port Elizabeth,,
BC Lara,West Indies,19,3,1,0,1,0,9,24,South Africa,40.48,2090,Jan-28-2004,2004,Port Elizabeth,,
DR Smith,West Indies,23,6,1,0,4,0,24,34,South Africa,18.57,2090,Jan-28-2004,2004,Port Elizabeth,,
RD Jacobs,West Indies,21,7,0,0,2,0,15,30,South Africa,23.31,2090,Jan-28-2004,2004,Port Elizabeth,,
RO Hurley,West Indies,11,3,1,0,0,0,5,15,South Africa,26.23,2090,Jan-28-2004,2004,Port Elizabeth,,
M Dillon,West Indies,12,4,2,0,0,1,14,19,South Africa,7.32,2090,Jan-28-2004,2004,Port Elizabeth,,
R Rampaul,West Indies,19,10,3,0,2,0,24,34,South Africa,12.37,2090,Jan-28-2004,2004,Port Elizabeth,,
CD Collymore,West Indies,16,3,0,0,2,0,11,21,South Africa,5.77,2090,Jan-28-2004,2004,Port Elizabeth,,
V Sehwag,India,20,8,0,0,6,0,32,34,Australia,35.05,2093,Feb-01-2004,2004,Perth,,
SR Tendulkar,India,4,1,0,0,1,0,5,6,Australia,44.83,2093,Feb-01-2004,2004,Perth,,
VVS Laxman,India,7,1,0,0,0,0,1,8,Australia,30.76,2093,Feb-01-2004,2004,Perth,,
R Dravid,India,31,5,0,0,2,0,13,38,Australia,39.16,2093,Feb-01-2004,2004,Perth,,
SC Ganguly,India,9,1,0,0,0,0,1,10,Australia,41.02,2093,Feb-01-2004,2004,Perth,,
Yuvraj Singh,India,34,19,4,0,5,0,47,62,Australia,36.37,2093,Feb-01-2004,2004,Perth,,
RS Gavaskar,India,6,0,1,0,1,0,6,8,Australia,44.19,2093,Feb-01-2004,2004,Perth,,
AB Agarkar,India,31,7,1,0,0,0,9,39,Australia,14.58,2093,Feb-01-2004,2004,Perth,,
IK Pathan,India,16,4,1,0,2,1,20,24,Australia,23.39,2093,Feb-01-2004,2004,Perth,,
M Kartik,India,19,17,2,1,2,0,32,41,Australia,14,2093,Feb-01-2004,2004,Perth,,
L Balaji,India,18,8,0,1,0,0,11,27,Australia,12,2093,Feb-01-2004,2004,Perth,,
AC Gilchrist,Australia,33,15,5,0,11,1,75,65,India,35.89,2093,Feb-01-2004,2004,Perth,,
ML Hayden,Australia,5,0,0,0,0,0,0,5,India,43.8,2093,Feb-01-2004,2004,Perth,,
DR Martyn,Australia,2,0,1,0,0,0,2,3,India,40.8,2093,Feb-01-2004,2004,Perth,,
MJ Clarke,Australia,6,2,0,0,0,0,2,8,India,44.58,2093,Feb-01-2004,2004,Perth,,
A Symonds,Australia,31,10,2,1,11,2,73,57,India,39.75,2093,Feb-01-2004,2004,Perth,,
SM Katich,Australia,20,8,1,0,2,0,18,31,India,35.78,2093,Feb-01-2004,2004,Perth,,
MEK Hussey,Australia,15,5,0,0,3,0,17,23,India,48.15,2093,Feb-01-2004,2004,Perth,,
GC Smith,South Africa,37,16,3,0,6,0,46,62,West Indies,37.98,2094,Feb-01-2004,2004,Centurion,,
HH Gibbs,South Africa,14,10,2,0,1,0,18,27,West Indies,36.13,2094,Feb-01-2004,2004,Centurion,,
RJ Peterson,South Africa,23,12,4,0,4,0,36,43,West Indies,20.59,2094,Feb-01-2004,2004,Centurion,,
JH Kallis,South Africa,36,49,3,0,7,2,95,97,West Indies,44.36,2094,Feb-01-2004,2004,Centurion,,
HH Dippenaar,South Africa,28,12,1,0,4,0,30,45,West Indies,42.23,2094,Feb-01-2004,2004,Centurion,,
L Klusener,South Africa,12,19,4,0,2,1,41,38,West Indies,41.1,2094,Feb-01-2004,2004,Centurion,,
CH Gayle,West Indies,14,2,2,0,2,2,26,22,South Africa,37.33,2094,Feb-01-2004,2004,Centurion,,
S Chanderpaul,West Indies,31,25,6,1,10,2,92,75,South Africa,41.6,2094,Feb-01-2004,2004,Centurion,,
RL Powell,West Indies,19,7,2,1,5,0,34,34,South Africa,24.82,2094,Feb-01-2004,2004,Centurion,,
RR Sarwan,West Indies,49,41,6,0,6,0,77,102,South Africa,42.67,2094,Feb-01-2004,2004,Centurion,,
BC Lara,West Indies,6,20,3,1,6,1,59,37,South Africa,40.48,2094,Feb-01-2004,2004,Centurion,,
V Sibanda,Zimbabwe,4,0,0,0,0,0,0,4,India,24.45,2095,Feb-03-2004,2004,Perth,,
T Taibu,Zimbabwe,1,0,0,0,0,0,0,1,India,29.25,2095,Feb-03-2004,2004,Perth,,
DD Ebrahim,Zimbabwe,18,2,1,1,0,0,7,22,India,20.61,2095,Feb-03-2004,2004,Perth,,
SV Carlisle,Zimbabwe,32,10,1,0,4,0,28,47,India,27.67,2095,Feb-03-2004,2004,Perth,,
SM Ervine,Zimbabwe,21,5,1,0,4,0,23,31,India,25.85,2095,Feb-03-2004,2004,Perth,,
HH Streak,Zimbabwe,10,0,1,0,1,0,6,12,India,28.29,2095,Feb-03-2004,2004,Perth,,
S Matsikenyeri,Zimbabwe,27,8,6,0,4,0,36,45,India,22.01,2095,Feb-03-2004,2004,Perth,,
TJ Friend,Zimbabwe,8,1,0,0,0,0,1,9,India,16.11,2095,Feb-03-2004,2004,Perth,,
AM Blignaut,Zimbabwe,4,0,1,0,0,0,2,5,India,18.96,2095,Feb-03-2004,2004,Perth,,
RW Price,Zimbabwe,4,0,0,0,0,0,0,4,India,9.66,2095,Feb-03-2004,2004,Perth,,
NB Mahwire,Zimbabwe,23,4,0,0,1,0,8,28,India,10.63,2095,Feb-03-2004,2004,Perth,,
V Sehwag,India,12,5,1,0,4,0,23,22,Zimbabwe,35.05,2095,Feb-03-2004,2004,Perth,,
SR Tendulkar,India,6,1,1,0,0,0,3,8,Zimbabwe,44.83,2095,Feb-03-2004,2004,Perth,,
VVS Laxman,India,31,8,2,0,5,0,32,46,Zimbabwe,30.76,2095,Feb-03-2004,2004,Perth,,
R Dravid,India,20,2,0,0,2,0,10,24,Zimbabwe,39.16,2095,Feb-03-2004,2004,Perth,,
Yuvraj Singh,India,7,0,0,0,1,0,4,8,Zimbabwe,36.37,2095,Feb-03-2004,2004,Perth,,
HK Badani,India,43,8,0,2,5,0,34,58,Zimbabwe,33.34,2095,Feb-03-2004,2004,Perth,,
RS Gavaskar,India,8,1,0,1,0,0,4,10,Zimbabwe,44.19,2095,Feb-03-2004,2004,Perth,,
IK Pathan,India,7,1,1,0,0,0,3,9,Zimbabwe,23.39,2095,Feb-03-2004,2004,Perth,,
CH Gayle,West Indies,62,66,10,0,12,3,152,153,South Africa,37.33,2096,Feb-04-2004,2004,Johannesburg,,
S Chanderpaul,West Indies,59,42,5,1,6,1,85,114,South Africa,41.6,2096,Feb-04-2004,2004,Johannesburg,,
BC Lara,West Indies,4,5,1,0,1,0,11,11,South Africa,40.48,2096,Feb-04-2004,2004,Johannesburg,,
RL Powell,West Indies,3,9,6,0,4,2,49,24,South Africa,24.82,2096,Feb-04-2004,2004,Johannesburg,,
GC Smith,South Africa,25,25,3,1,6,0,58,60,West Indies,37.98,2096,Feb-04-2004,2004,Johannesburg,,
HH Gibbs,South Africa,11,5,0,0,1,1,15,18,West Indies,36.13,2096,Feb-04-2004,2004,Johannesburg,,
JH Kallis,South Africa,63,53,12,0,11,3,139,142,West Indies,44.36,2096,Feb-04-2004,2004,Johannesburg,,
HH Dippenaar,South Africa,14,20,2,0,1,0,28,37,West Indies,42.23,2096,Feb-04-2004,2004,Johannesburg,,
JA Rudolph,South Africa,11,11,3,0,3,1,35,29,West Indies,35.57,2096,Feb-04-2004,2004,Johannesburg,,
L Klusener,South Africa,4,0,0,0,1,0,4,5,West Indies,41.1,2096,Feb-04-2004,2004,Johannesburg,,
MV Boucher,South Africa,2,3,0,0,1,0,7,6,West Indies,28.57,2096,Feb-04-2004,2004,Johannesburg,,
SM Pollock,South Africa,0,0,1,0,1,1,12,3,West Indies,26.45,2096,Feb-04-2004,2004,Johannesburg,,
V Sehwag,India,5,3,0,0,0,0,3,8,Australia,35.05,2097,Feb-06-2004,2004,Melbourne,,
SR Tendulkar,India,17,4,0,0,1,0,8,22,Australia,44.83,2097,Feb-06-2004,2004,Melbourne,,
VVS Laxman,India,16,2,1,4,2,0,24,25,Australia,30.76,2097,Feb-06-2004,2004,Melbourne,,
R Dravid,India,26,0,0,0,3,0,12,29,Australia,39.16,2097,Feb-06-2004,2004,Melbourne,,
SC Ganguly,India,16,4,1,0,0,0,6,21,Australia,41.02,2097,Feb-06-2004,2004,Melbourne,,
Yuvraj Singh,India,13,2,2,1,3,0,21,21,Australia,36.37,2097,Feb-06-2004,2004,Melbourne,,
HK Badani,India,41,29,6,1,4,0,60,81,Australia,33.34,2097,Feb-06-2004,2004,Melbourne,,
AB Agarkar,India,35,17,4,0,4,2,53,62,Australia,14.58,2097,Feb-06-2004,2004,Melbourne,,
IK Pathan,India,7,9,2,0,0,1,19,19,Australia,23.39,2097,Feb-06-2004,2004,Melbourne,,
A Kumble,India,1,2,0,0,0,0,2,3,Australia,10.53,2097,Feb-06-2004,2004,Melbourne,,
L Balaji,India,5,2,0,0,0,0,2,7,Australia,12,2097,Feb-06-2004,2004,Melbourne,,
AC Gilchrist,Australia,7,3,2,1,7,0,38,20,India,35.89,2097,Feb-06-2004,2004,Melbourne,,
ML Hayden,Australia,58,25,3,1,4,0,50,91,India,43.8,2097,Feb-06-2004,2004,Melbourne,,
RT Ponting,Australia,38,20,11,2,7,2,88,80,India,42.03,2097,Feb-06-2004,2004,Melbourne,,
DR Martyn,Australia,28,3,2,3,1,0,20,37,India,40.8,2097,Feb-06-2004,2004,Melbourne,,
A Symonds,Australia,9,5,0,0,0,0,10,15,India,39.75,2097,Feb-06-2004,2004,Melbourne,,
AC Gilchrist,Australia,17,9,2,0,4,0,29,32,India,35.89,2098,Feb-08-2004,2004,Sydney,,
ML Hayden,Australia,57,39,11,1,11,3,126,122,India,43.8,2098,Feb-08-2004,2004,Sydney,,
RT Ponting,Australia,6,2,1,0,0,0,4,9,India,42.03,2098,Feb-08-2004,2004,Sydney,,
DR Martyn,Australia,29,36,6,1,4,0,67,76,India,40.8,2098,Feb-08-2004,2004,Sydney,,
A Symonds,Australia,13,12,4,0,7,3,66,39,India,39.75,2098,Feb-08-2004,2004,Sydney,,
MJ Clarke,Australia,2,11,2,2,3,0,33,20,India,44.58,2098,Feb-08-2004,2004,Sydney,,
SM Katich,Australia,0,1,1,0,2,0,11,4,India,35.78,2098,Feb-08-2004,2004,Sydney,,
V Sehwag,India,3,2,0,0,1,1,12,7,Australia,35.05,2098,Feb-08-2004,2004,Sydney,,
SR Tendulkar,India,28,6,1,1,4,0,27,40,Australia,44.83,2098,Feb-08-2004,2004,Sydney,,
VVS Laxman,India,5,1,0,0,1,0,5,7,Australia,30.76,2098,Feb-08-2004,2004,Sydney,,
SC Ganguly,India,12,3,0,0,0,0,3,15,Australia,41.02,2098,Feb-08-2004,2004,Sydney,,
R Dravid,India,11,0,0,0,0,0,0,11,Australia,39.16,2098,Feb-08-2004,2004,Sydney,,
Yuvraj Singh,India,14,0,0,0,1,0,4,15,Australia,36.37,2098,Feb-08-2004,2004,Sydney,,
HK Badani,India,17,6,3,0,0,1,18,27,Australia,33.34,2098,Feb-08-2004,2004,Sydney,,
IK Pathan,India,30,4,1,0,6,0,30,41,Australia,23.39,2098,Feb-08-2004,2004,Sydney,,
M Kartik,India,15,4,2,1,3,0,23,25,Australia,14,2098,Feb-08-2004,2004,Sydney,,
L Balaji,India,8,2,0,0,0,0,2,10,Australia,12,2098,Feb-08-2004,2004,Sydney,,
A Nehra,India,1,0,0,0,2,1,14,4,Australia,5.64,2098,Feb-08-2004,2004,Sydney,,
MHW Papps,New Zealand,26,8,1,0,1,0,14,36,South Africa,51.75,2099,Feb-13-2004,2004,Auckland,,
SP Fleming,New Zealand,23,5,2,1,3,1,30,35,South Africa,32.4,2099,Feb-13-2004,2004,Auckland,,
HJH Marshall,New Zealand,18,2,1,1,0,0,7,22,South Africa,27.43,2099,Feb-13-2004,2004,Auckland,,
SB Styris,New Zealand,47,24,3,0,6,1,60,81,South Africa,32.48,2099,Feb-13-2004,2004,Auckland,,
CD McMillan,New Zealand,11,2,0,1,1,0,9,15,South Africa,28.18,2099,Feb-13-2004,2004,Auckland,,
CL Cairns,New Zealand,37,26,3,0,5,1,58,72,South Africa,29.46,2099,Feb-13-2004,2004,Auckland,,
JDP Oram,New Zealand,7,9,3,0,0,0,15,19,South Africa,24.09,2099,Feb-13-2004,2004,Auckland,,
BB McCullum,New Zealand,3,6,1,0,2,0,16,12,South Africa,30.56,2099,Feb-13-2004,2004,Auckland,,
DL Vettori,New Zealand,2,2,2,0,0,0,6,6,South Africa,17.33,2099,Feb-13-2004,2004,Auckland,,
KD Mills,New Zealand,2,1,0,0,0,0,1,3,South Africa,15.62,2099,Feb-13-2004,2004,Auckland,,
GC Smith,South Africa,49,26,7,0,8,0,72,90,New Zealand,37.98,2099,Feb-13-2004,2004,Auckland,,
HH Gibbs,South Africa,36,11,5,2,4,0,43,58,New Zealand,36.13,2099,Feb-13-2004,2004,Auckland,,
JH Kallis,South Africa,24,14,0,0,3,0,26,41,New Zealand,44.36,2099,Feb-13-2004,2004,Auckland,,
HH Dippenaar,South Africa,26,15,1,1,6,0,44,49,New Zealand,42.23,2099,Feb-13-2004,2004,Auckland,,
JA Rudolph,South Africa,32,10,1,0,3,0,24,46,New Zealand,35.57,2099,Feb-13-2004,2004,Auckland,,
MV Boucher,South Africa,4,0,0,0,0,0,0,4,New Zealand,28.57,2099,Feb-13-2004,2004,Auckland,,
SM Pollock,South Africa,7,3,1,0,0,0,5,11,New Zealand,26.45,2099,Feb-13-2004,2004,Auckland,,
GC Smith,South Africa,63,31,6,1,7,1,80,109,New Zealand,37.98,2100,Feb-17-2004,2004,Christchurch,,
HH Gibbs,South Africa,2,0,0,0,0,0,0,2,New Zealand,36.13,2100,Feb-17-2004,2004,Christchurch,,
JH Kallis,South Africa,20,5,1,0,0,0,7,26,New Zealand,44.36,2100,Feb-17-2004,2004,Christchurch,,
HH Dippenaar,South Africa,37,15,1,1,4,0,36,58,New Zealand,42.23,2100,Feb-17-2004,2004,Christchurch,,
JA Rudolph,South Africa,19,9,1,1,4,2,42,36,New Zealand,35.57,2100,Feb-17-2004,2004,Christchurch,,
MV Boucher,South Africa,16,11,2,1,4,1,40,35,New Zealand,28.57,2100,Feb-17-2004,2004,Christchurch,,
L Klusener,South Africa,8,4,2,0,0,0,8,14,New Zealand,41.1,2100,Feb-17-2004,2004,Christchurch,,
SM Pollock,South Africa,1,8,2,0,2,0,20,13,New Zealand,26.45,2100,Feb-17-2004,2004,Christchurch,,
N Boje,South Africa,2,2,0,0,0,0,2,4,New Zealand,26.67,2100,Feb-17-2004,2004,Christchurch,,
M Ntini,South Africa,2,3,1,0,1,0,9,7,New Zealand,8.65,2100,Feb-17-2004,2004,Christchurch,,
MHW Papps,New Zealand,3,2,0,0,0,0,2,5,South Africa,51.75,2100,Feb-17-2004,2004,Christchurch,,
SP Fleming,New Zealand,55,40,8,0,10,2,108,115,South Africa,32.4,2100,Feb-17-2004,2004,Christchurch,,
BB McCullum,New Zealand,13,0,1,0,0,0,2,14,South Africa,30.56,2100,Feb-17-2004,2004,Christchurch,,
HJH Marshall,New Zealand,13,2,4,0,2,0,18,21,South Africa,27.43,2100,Feb-17-2004,2004,Christchurch,,
SB Styris,New Zealand,27,8,1,0,2,1,24,39,South Africa,32.48,2100,Feb-17-2004,2004,Christchurch,,
CD McMillan,New Zealand,34,23,2,0,8,2,71,69,South Africa,28.18,2100,Feb-17-2004,2004,Christchurch,,
CL Cairns,New Zealand,7,4,0,0,0,1,10,12,South Africa,29.46,2100,Feb-17-2004,2004,Christchurch,,
MHW Papps,New Zealand,64,24,2,1,9,0,67,100,South Africa,51.75,2101,Feb-20-2004,2004,Wellington,,
SP Fleming,New Zealand,25,13,1,0,4,2,43,45,South Africa,32.4,2101,Feb-20-2004,2004,Wellington,,
CL Cairns,New Zealand,10,3,2,1,1,1,20,18,South Africa,29.46,2101,Feb-20-2004,2004,Wellington,,
JDP Oram,New Zealand,5,4,1,0,2,1,20,13,South Africa,24.09,2101,Feb-20-2004,2004,Wellington,,
SB Styris,New Zealand,8,11,3,0,1,4,45,27,South Africa,32.48,2101,Feb-20-2004,2004,Wellington,,
CD McMillan,New Zealand,2,1,0,0,0,0,1,3,South Africa,28.18,2101,Feb-20-2004,2004,Wellington,,
BB McCullum,New Zealand,5,11,2,0,5,1,41,24,South Africa,30.56,2101,Feb-20-2004,2004,Wellington,,
GC Smith,South Africa,19,9,4,1,6,0,44,39,New Zealand,37.98,2101,Feb-20-2004,2004,Wellington,,
HH Gibbs,South Africa,27,22,5,0,6,2,68,62,New Zealand,36.13,2101,Feb-20-2004,2004,Wellington,,
JH Kallis,South Africa,13,10,1,0,1,0,16,25,New Zealand,44.36,2101,Feb-20-2004,2004,Wellington,,
JA Morkel,South Africa,3,2,0,0,1,0,6,6,New Zealand,23.69,2101,Feb-20-2004,2004,Wellington,,
HH Dippenaar,South Africa,12,4,0,0,1,0,8,17,New Zealand,42.23,2101,Feb-20-2004,2004,Wellington,,
MV Boucher,South Africa,3,0,0,0,0,0,0,3,New Zealand,28.57,2101,Feb-20-2004,2004,Wellington,,
AG Prince,South Africa,14,14,4,1,5,0,45,38,New Zealand,35.1,2101,Feb-20-2004,2004,Wellington,,
N Boje,South Africa,9,10,1,0,3,0,24,23,New Zealand,26.67,2101,Feb-20-2004,2004,Wellington,,
SM Pollock,South Africa,7,3,4,0,0,3,29,17,New Zealand,26.45,2101,Feb-20-2004,2004,Wellington,,
AC Gilchrist,Australia,30,21,3,1,9,0,66,64,Sri Lanka,35.89,2102,Feb-20-2004,2004,Dambulla,,
ML Hayden,Australia,30,21,2,1,3,0,40,57,Sri Lanka,43.8,2102,Feb-20-2004,2004,Dambulla,,
RT Ponting,Australia,42,30,6,0,4,0,58,82,Sri Lanka,42.03,2102,Feb-20-2004,2004,Dambulla,,
DR Martyn,Australia,15,21,1,0,1,0,27,38,Sri Lanka,40.8,2102,Feb-20-2004,2004,Dambulla,,
MG Bevan,Australia,15,13,2,0,1,0,21,31,Sri Lanka,53.58,2102,Feb-20-2004,2004,Dambulla,,
A Symonds,Australia,3,10,1,1,4,1,37,20,Sri Lanka,39.75,2102,Feb-20-2004,2004,Dambulla,,
MJ Clarke,Australia,3,0,0,0,0,0,0,3,Sri Lanka,44.58,2102,Feb-20-2004,2004,Dambulla,,
GB Hogg,Australia,4,2,0,0,0,0,2,6,Sri Lanka,20.25,2102,Feb-20-2004,2004,Dambulla,,
ST Jayasuriya,Sri Lanka,8,0,0,0,2,0,8,10,Australia,32.36,2102,Feb-20-2004,2004,Dambulla,,
RS Kaluwitharana,Sri Lanka,6,2,0,0,0,0,2,8,Australia,22.22,2102,Feb-20-2004,2004,Dambulla,,
MS Atapattu,Sri Lanka,8,1,0,0,0,0,1,9,Australia,37.57,2102,Feb-20-2004,2004,Dambulla,,
KC Sangakkara,Sri Lanka,51,30,5,2,3,0,58,91,Australia,41.98,2102,Feb-20-2004,2004,Dambulla,,
DPMD Jayawardene,Sri Lanka,53,26,6,1,5,0,61,91,Australia,33.37,2102,Feb-20-2004,2004,Dambulla,,
TM Dilshan,Sri Lanka,15,10,2,0,1,0,18,28,Australia,39.65,2102,Feb-20-2004,2004,Dambulla,,
UDU Chandana,Sri Lanka,6,5,2,0,0,0,9,13,Australia,17.3,2102,Feb-20-2004,2004,Dambulla,,
WPUJC Vaas,Sri Lanka,8,0,0,0,0,0,0,8,Australia,13.68,2102,Feb-20-2004,2004,Dambulla,,
HDPK Dharmasena,Sri Lanka,2,0,0,0,0,0,0,2,Australia,22.62,2102,Feb-20-2004,2004,Dambulla,,
KMDN Kulasekara,Sri Lanka,2,1,0,0,0,0,1,3,Australia,15.14,2102,Feb-20-2004,2004,Dambulla,,
M Muralitharan,Sri Lanka,2,0,0,0,0,0,0,2,Australia,6.8,2102,Feb-20-2004,2004,Dambulla,,
MS Atapattu,Sri Lanka,41,17,4,2,4,0,47,68,Australia,37.57,2103,Feb-22-2004,2004,Dambulla,,
ST Jayasuriya,Sri Lanka,36,18,3,1,7,0,55,65,Australia,32.36,2103,Feb-22-2004,2004,Dambulla,,
KC Sangakkara,Sri Lanka,28,22,7,1,0,0,39,58,Australia,41.98,2103,Feb-22-2004,2004,Dambulla,,
DPMD Jayawardene,Sri Lanka,36,20,5,0,2,0,38,63,Australia,33.37,2103,Feb-22-2004,2004,Dambulla,,
TM Dilshan,Sri Lanka,7,11,0,0,0,0,11,18,Australia,39.65,2103,Feb-22-2004,2004,Dambulla,,
